"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0048024"	"GO:0048024"	"regulation of mRNA splicing, via spliceosome"	"11/243"	"116/23328"	3.75443343178167e-08	8.42148299005795e-06	6.85526104345559e-06	"Ncl/Hnrnpu/Snrnp70/Ptbp1/Hspa8/Npm1/Hnrnpk/Qk/Srsf3/Srsf7/Malat1"	11
"GO:0071103"	"GO:0071103"	"DNA conformation change"	"15/243"	"242/23328"	4.13667091098663e-08	8.61609455459786e-06	7.01367887539462e-06	"Hjurp/Mcm6/Set/Hat1/Cdkn2a/Itgb3bp/Nasp/Mcm7/Hmgb1/Mcm2/Trim28/Nap1l1/Smarcc1/Npm1/Mcm4"	15
"GO:0016072"	"GO:0016072"	"rRNA metabolic process"	"14/243"	"215/23328"	6.40486693649888e-08	1.18043395978042e-05	9.60897617249603e-06	"Rrs1/Ncl/Rpl35/Rps21/Exosc9/Exosc8/Cdkn2a/Lyar/Emg1/Rps19/Pa2g4/Npm1/Rsl1d1/Rps28"	14
"GO:0006403"	"GO:0006403"	"RNA localization"	"13/243"	"182/23328"	6.47700389454278e-08	1.18043395978042e-05	9.60897617249603e-06	"Rrs1/Hnrnpu/Ran/Cct4/Npm1/Eif5a/Alyref/Nsun2/Qk/Tcp1/Srsf3/Srsf7/Nxf1"	13
"GO:0000727"	"GO:0000727"	"double-strand break repair via break-induced replication"	"5/243"	"12/23328"	8.78264837296916e-08	1.50648250915165e-05	1.22630786879538e-05	"Mcm3/Mcm6/Mcm7/Mcm2/Mcm4"	5
"GO:0043484"	"GO:0043484"	"regulation of RNA splicing"	"12/243"	"158/23328"	1.071351512351e-07	1.73558945000862e-05	1.41280564932837e-05	"Ncl/Hnrnpu/Hnrnpf/Snrnp70/Ptbp1/Hspa8/Npm1/Hnrnpk/Qk/Srsf3/Srsf7/Malat1"	12
"GO:0009205"	"GO:0009205"	"purine ribonucleoside triphosphate metabolic process"	"9/243"	"79/23328"	1.35934991163409e-07	2.0143039597759e-05	1.63968501526773e-05	"Atp5e/Vcp/Atp5k/Ran/Atp5j2/Pkm/Impdh2/Nme6/Atp5j"	9
"GO:0070199"	"GO:0070199"	"establishment of protein localization to chromosome"	"6/243"	"24/23328"	1.38155278448279e-07	2.0143039597759e-05	1.63968501526773e-05	"Cct3/Cct7/Cct4/Cct5/Cct8/Tcp1"	6
"GO:0034728"	"GO:0034728"	"nucleosome organization"	"11/243"	"137/23328"	2.08737670437151e-07	2.77538618553146e-05	2.25922166210867e-05	"Ptma/Hjurp/Set/Hat1/Anp32e/Itgb3bp/Nasp/Mcm2/Nap1l1/Smarcc1/Npm1"	11
"GO:0009199"	"GO:0009199"	"ribonucleoside triphosphate metabolic process"	"9/243"	"83/23328"	2.09391276000316e-07	2.77538618553146e-05	2.25922166210867e-05	"Atp5e/Vcp/Atp5k/Ran/Atp5j2/Pkm/Impdh2/Nme6/Atp5j"	9
"GO:0065004"	"GO:0065004"	"protein-DNA complex assembly"	"12/243"	"171/23328"	2.53961332763222e-07	3.21978802755458e-05	2.62097393767078e-05	"Mcm3/Hjurp/Mcm6/Set/Hat1/Itgb3bp/Nasp/Mcm7/Mcm2/Nap1l1/Npm1/Mcm4"	12
"GO:0006333"	"GO:0006333"	"chromatin assembly or disassembly"	"12/243"	"173/23328"	2.88033828384622e-07	3.49961101487316e-05	2.8487556272251e-05	"Hjurp/Set/Hat1/Cdkn2a/Itgb3bp/Nasp/Hmgb1/Mcm2/Trim28/Nap1l1/Smarcc1/Npm1"	12
"GO:0006260"	"GO:0006260"	"DNA replication"	"14/243"	"244/23328"	3.03916710759918e-07	3.54488451430368e-05	2.88560919058364e-05	"Mcm3/Mcm6/Ssrp1/Cst3/Nasp/Mcm7/Mcm2/Pold1/Rrm1/Nfix/Npm1/Gmnn/Rrm2/Mcm4"	14
"GO:0009144"	"GO:0009144"	"purine nucleoside triphosphate metabolic process"	"9/243"	"88/23328"	3.47902740914176e-07	3.90186304809899e-05	3.17619708810311e-05	"Atp5e/Vcp/Atp5k/Ran/Atp5j2/Pkm/Impdh2/Nme6/Atp5j"	9
"GO:0009206"	"GO:0009206"	"purine ribonucleoside triphosphate biosynthetic process"	"8/243"	"65/23328"	3.73766442140984e-07	4.03667757512263e-05	3.28593889679501e-05	"Atp5e/Vcp/Atp5k/Atp5j2/Pkm/Impdh2/Nme6/Atp5j"	8
"GO:0071826"	"GO:0071826"	"ribonucleoprotein complex subunit organization"	"12/243"	"179/23328"	4.15986399780392e-07	4.2385361195086e-05	3.45025591996675e-05	"Rrs1/Rps27/Vcp/Eif4h/Strap/Rps19/Rps27l/Rpl38/Eif5/Rpl3/Rps28/Lsm2"	12
"GO:0009145"	"GO:0009145"	"purine nucleoside triphosphate biosynthetic process"	"8/243"	"66/23328"	4.21527940554696e-07	4.2385361195086e-05	3.45025591996675e-05	"Atp5e/Vcp/Atp5k/Atp5j2/Pkm/Impdh2/Nme6/Atp5j"	8
"GO:0070198"	"GO:0070198"	"protein localization to chromosome, telomeric region"	"6/243"	"29/23328"	4.66774213899846e-07	4.5370453591065e-05	3.69324860471632e-05	"Cct3/Cct7/Cct4/Cct5/Cct8/Tcp1"	6
"GO:0009201"	"GO:0009201"	"ribonucleoside triphosphate biosynthetic process"	"8/243"	"68/23328"	5.32878334053766e-07	5.01249426484123e-05	4.08027383120965e-05	"Atp5e/Vcp/Atp5k/Atp5j2/Pkm/Impdh2/Nme6/Atp5j"	8
"GO:0031497"	"GO:0031497"	"chromatin assembly"	"11/243"	"151/23328"	5.57109478010464e-07	5.07666011837036e-05	4.13250616089999e-05	"Hjurp/Set/Hat1/Cdkn2a/Itgb3bp/Nasp/Hmgb1/Mcm2/Trim28/Nap1l1/Npm1"	11
"GO:0050684"	"GO:0050684"	"regulation of mRNA processing"	"11/243"	"154/23328"	6.7806031568938e-07	5.99158751681889e-05	4.8772759549587e-05	"Ncl/Hnrnpu/Snrnp70/Ptbp1/Hspa8/Npm1/Hnrnpk/Qk/Srsf3/Srsf7/Malat1"	11
"GO:0006457"	"GO:0006457"	"protein folding"	"11/243"	"155/23328"	7.23229872055656e-07	6.20275972621851e-05	5.04917449376317e-05	"Hspd1/Cct3/Cct7/Fkbp4/Hspa8/Cryab/Cct4/Cct5/Cct8/Tcp1/Hspa9"	11
"GO:0050657"	"GO:0050657"	"nucleic acid transport"	"11/243"	"157/23328"	8.21595139481496e-07	6.43325460081238e-05	5.2368020810165e-05	"Rrs1/Hnrnpu/Ran/Npm1/Eif5a/Alyref/Nsun2/Qk/Srsf3/Srsf7/Nxf1"	11
"GO:0050658"	"GO:0050658"	"RNA transport"	"11/243"	"157/23328"	8.21595139481496e-07	6.43325460081238e-05	5.2368020810165e-05	"Rrs1/Hnrnpu/Ran/Npm1/Eif5a/Alyref/Nsun2/Qk/Srsf3/Srsf7/Nxf1"	11
"GO:0032210"	"GO:0032210"	"regulation of telomere maintenance via telomerase"	"7/243"	"50/23328"	8.32530061828468e-07	6.43325460081238e-05	5.2368020810165e-05	"Hnrnpu/Cct3/Cct7/Cct4/Cct5/Cct8/Tcp1"	7
"GO:0032212"	"GO:0032212"	"positive regulation of telomere maintenance via telomerase"	"6/243"	"32/23328"	8.67476983116894e-07	6.43325460081238e-05	5.2368020810165e-05	"Cct3/Cct7/Cct4/Cct5/Cct8/Tcp1"	6
"GO:0006611"	"GO:0006611"	"protein export from nucleus"	"10/243"	"127/23328"	9.00479951423599e-07	6.43325460081238e-05	5.2368020810165e-05	"Rrs1/Cdkn2a/Ran/Npm1/Eif5a/Nsun2/Rangap1/Srsf3/Hspa9/Nxf1"	10
"GO:0006913"	"GO:0006913"	"nucleocytoplasmic transport"	"15/243"	"308/23328"	9.23998176454342e-07	6.43325460081238e-05	5.2368020810165e-05	"Rrs1/Cdkn2a/Ppp1cc/Ran/Phb2/Trim28/Hspa8/Npm1/Eif5a/Kpnb1/Nsun2/Rangap1/Srsf3/Hspa9/Nxf1"	15
"GO:0051169"	"GO:0051169"	"nuclear transport"	"15/243"	"308/23328"	9.23998176454342e-07	6.43325460081238e-05	5.2368020810165e-05	"Rrs1/Cdkn2a/Ppp1cc/Ran/Phb2/Trim28/Hspa8/Npm1/Eif5a/Kpnb1/Nsun2/Rangap1/Srsf3/Hspa9/Nxf1"	15
"GO:0042274"	"GO:0042274"	"ribosomal small subunit biogenesis"	"8/243"	"73/23328"	9.26600456907132e-07	6.43325460081238e-05	5.2368020810165e-05	"Rrs1/Rps21/Rps27/Rps19/Rps27l/Npm1/Rpl38/Rps28"	8
"GO:0051236"	"GO:0051236"	"establishment of RNA localization"	"11/243"	"160/23328"	9.91254298183571e-07	6.72208728721696e-05	5.47191785166206e-05	"Rrs1/Hnrnpu/Ran/Npm1/Eif5a/Alyref/Nsun2/Qk/Srsf3/Srsf7/Nxf1"	11
"GO:0000375"	"GO:0000375"	"RNA splicing, via transesterification reactions"	"14/243"	"271/23328"	1.0710313725565e-06	6.78940757037991e-05	5.52671795220804e-05	"Ncl/Hnrnpu/Strap/Snrnp70/Ptbp1/Ubl5/Hspa8/Npm1/Hnrnpk/Qk/Srsf3/Lsm2/Srsf7/Malat1"	14
"GO:0000377"	"GO:0000377"	"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"	"14/243"	"271/23328"	1.0710313725565e-06	6.78940757037991e-05	5.52671795220804e-05	"Ncl/Hnrnpu/Strap/Snrnp70/Ptbp1/Ubl5/Hspa8/Npm1/Hnrnpk/Qk/Srsf3/Lsm2/Srsf7/Malat1"	14
"GO:0000398"	"GO:0000398"	"mRNA splicing, via spliceosome"	"14/243"	"271/23328"	1.0710313725565e-06	6.78940757037991e-05	5.52671795220804e-05	"Ncl/Hnrnpu/Strap/Snrnp70/Ptbp1/Ubl5/Hspa8/Npm1/Hnrnpk/Qk/Srsf3/Lsm2/Srsf7/Malat1"	14
"GO:0006323"	"GO:0006323"	"DNA packaging"	"12/243"	"199/23328"	1.28342604077595e-06	7.96270284021847e-05	6.48180452844294e-05	"Hjurp/Set/Hat1/Cdkn2a/Itgb3bp/Nasp/Hmgb1/Mcm2/Trim28/Nap1l1/Smarcc1/Npm1"	12
"GO:0009142"	"GO:0009142"	"nucleoside triphosphate biosynthetic process"	"8/243"	"78/23328"	1.54552903480463e-06	9.3890888864381e-05	7.64291222255357e-05	"Atp5e/Vcp/Atp5k/Atp5j2/Pkm/Impdh2/Nme6/Atp5j"	8
"GO:1904358"	"GO:1904358"	"positive regulation of telomere maintenance via telomere lengthening"	"6/243"	"36/23328"	1.80071749849152e-06	0.000107161065828597	8.7231320281383e-05	"Cct3/Cct7/Cct4/Cct5/Cct8/Tcp1"	6
"GO:0022618"	"GO:0022618"	"ribonucleoprotein complex assembly"	"11/243"	"172/23328"	2.01856704242621e-06	0.000117722829914296	9.58288143299178e-05	"Rrs1/Rps27/Eif4h/Strap/Rps19/Rps27l/Rpl38/Eif5/Rpl3/Rps28/Lsm2"	11
"GO:0000028"	"GO:0000028"	"ribosomal small subunit assembly"	"5/243"	"21/23328"	2.08997336782448e-06	0.000118007917694811	9.60608816698432e-05	"Rps27/Rps19/Rps27l/Rpl38/Rps28"	5
"GO:0031647"	"GO:0031647"	"regulation of protein stability"	"14/243"	"287/23328"	2.10439359400898e-06	0.000118007917694811	9.60608816698432e-05	"Hspd1/Cct3/Cdkn2a/Cct7/Phb2/Plk1/Cd81/Hspa8/Cryab/Cct4/Npm1/Cct5/Cct8/Tcp1"	14
"GO:0009141"	"GO:0009141"	"nucleoside triphosphate metabolic process"	"9/243"	"109/23328"	2.14790002404457e-06	0.000118175027737999	9.61969126955413e-05	"Atp5e/Vcp/Atp5k/Ran/Atp5j2/Pkm/Impdh2/Nme6/Atp5j"	9
"GO:1904356"	"GO:1904356"	"regulation of telomere maintenance via telomere lengthening"	"7/243"	"59/23328"	2.62580610604885e-06	0.000141793529726638	0.000115422860996884	"Hnrnpu/Cct3/Cct7/Cct4/Cct5/Cct8/Tcp1"	7
"GO:0050821"	"GO:0050821"	"protein stabilization"	"11/243"	"178/23328"	2.81825448652168e-06	0.000149418728776313	0.000121629930470936	"Hspd1/Cct3/Cdkn2a/Cct7/Phb2/Cryab/Cct4/Npm1/Cct5/Cct8/Tcp1"	11
"GO:0006278"	"GO:0006278"	"RNA-dependent DNA biosynthetic process"	"7/243"	"60/23328"	2.94643990504431e-06	0.000150733662510688	0.000122700313681901	"Hnrnpu/Cct3/Cct7/Cct4/Cct5/Cct8/Tcp1"	7
"GO:0007004"	"GO:0007004"	"telomere maintenance via telomerase"	"7/243"	"60/23328"	2.94643990504431e-06	0.000150733662510688	0.000122700313681901	"Hnrnpu/Cct3/Cct7/Cct4/Cct5/Cct8/Tcp1"	7
"GO:0051168"	"GO:0051168"	"nuclear export"	"10/243"	"146/23328"	3.20702551836783e-06	0.000161235972613114	0.000131249410960426	"Rrs1/Cdkn2a/Ran/Npm1/Eif5a/Nsun2/Rangap1/Srsf3/Hspa9/Nxf1"	10
"GO:0008380"	"GO:0008380"	"RNA splicing"	"16/243"	"386/23328"	3.26725946528298e-06	0.000161480145775681	0.000131448172956523	"Ncl/Hnrnpu/Hnrnpf/Strap/Snrnp70/Ptbp1/Ubl5/Hspa8/Npm1/Alyref/Hnrnpk/Qk/Srsf3/Lsm2/Srsf7/Malat1"	16
"GO:0000466"	"GO:0000466"	"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"	"5/243"	"24/23328"	4.25540582064991e-06	0.000203422350377298	0.000165589993538664	"Rrs1/Rps21/Exosc9/Exosc8/Npm1"	5
"GO:0043486"	"GO:0043486"	"histone exchange"	"5/243"	"24/23328"	4.25540582064991e-06	0.000203422350377298	0.000165589993538664	"Ptma/Hjurp/Anp32e/Itgb3bp/Nasp"	5
"GO:0034660"	"GO:0034660"	"ncRNA metabolic process"	"17/243"	"444/23328"	4.63891180453798e-06	0.00021817849712956	0.000177601801684773	"Rrs1/Ncl/Rpl35/Rps21/Exosc9/Exosc8/Cdkn2a/Lyar/Gars/Emg1/Rps19/Pa2g4/Npm1/Nsun2/Rsl1d1/Rps28/Vars"	17
"GO:0006091"	"GO:0006091"	"generation of precursor metabolites and energy"	"16/243"	"400/23328"	5.13576431256722e-06	0.000237712519610254	0.000193502899328974	"Rpe/Vcp/Cox6a1/Ppp1cc/Atp5j2/Hmgb1/Phb2/Bax/Mt3/Cox4i1/Pkm/Cyb5r4/Mybbp1a/Cox7c/Atp5j/Ndufa7"	16
"GO:0034470"	"GO:0034470"	"ncRNA processing"	"15/243"	"355/23328"	5.28712077502786e-06	0.000240894440312207	0.000196093048481708	"Rrs1/Ncl/Rpl35/Rps21/Exosc9/Exosc8/Cdkn2a/Lyar/Emg1/Rps19/Pa2g4/Npm1/Nsun2/Rsl1d1/Rps28"	15
"GO:0042255"	"GO:0042255"	"ribosome assembly"	"7/243"	"66/23328"	5.63461797087562e-06	0.000252777630816513	0.000205766210920235	"Rrs1/Rps27/Rps19/Rps27l/Rpl38/Rpl3/Rps28"	7
"GO:1901998"	"GO:1901998"	"toxin transport"	"6/243"	"44/23328"	6.08707266283624e-06	0.000267117637234066	0.000217439272241289	"Cct3/Cct7/Cct4/Cct5/Cct8/Tcp1"	6
"GO:0015931"	"GO:0015931"	"nucleobase-containing compound transport"	"11/243"	"193/23328"	6.13747657567985e-06	0.000267117637234066	0.000217439272241289	"Rrs1/Hnrnpu/Ran/Npm1/Eif5a/Alyref/Nsun2/Qk/Srsf3/Srsf7/Nxf1"	11
"GO:0000469"	"GO:0000469"	"cleavage involved in rRNA processing"	"5/243"	"27/23328"	7.87892382409617e-06	0.000335458227721578	0.000273069924017096	"Rrs1/Rps21/Exosc9/Exosc8/Npm1"	5
"GO:0043044"	"GO:0043044"	"ATP-dependent chromatin remodeling"	"6/243"	"46/23328"	7.93779756954351e-06	0.000335458227721578	0.000273069924017096	"Ptma/Hjurp/Anp32e/Itgb3bp/Nasp/Smarcc1"	6
"GO:0071426"	"GO:0071426"	"ribonucleoprotein complex export from nucleus"	"7/243"	"70/23328"	8.37212638631472e-06	0.000348758864892767	0.000283896917310371	"Rrs1/Ran/Npm1/Eif5a/Nsun2/Srsf3/Nxf1"	7
"GO:0006334"	"GO:0006334"	"nucleosome assembly"	"8/243"	"98/23328"	8.67484292538741e-06	0.000356279464372249	0.000290018840574479	"Hjurp/Set/Hat1/Itgb3bp/Nasp/Mcm2/Nap1l1/Npm1"	8
"GO:0010257"	"GO:0010257"	"NADH dehydrogenase complex assembly"	"6/243"	"47/23328"	9.02064979514403e-06	0.000360331709625206	0.000293317451882477	"Ndufa1/Ndufc1/Ndufs5/Ndufa3/Ndufa13/Ndufa2"	6
"GO:0032981"	"GO:0032981"	"mitochondrial respiratory chain complex I assembly"	"6/243"	"47/23328"	9.02064979514403e-06	0.000360331709625206	0.000293317451882477	"Ndufa1/Ndufc1/Ndufs5/Ndufa3/Ndufa13/Ndufa2"	6
"GO:0071166"	"GO:0071166"	"ribonucleoprotein complex localization"	"7/243"	"71/23328"	9.20616497369102e-06	0.000362772663017338	0.000295304438345281	"Rrs1/Ran/Npm1/Eif5a/Nsun2/Srsf3/Nxf1"	7
"GO:0007339"	"GO:0007339"	"binding of sperm to zona pellucida"	"6/243"	"48/23328"	1.02200772807461e-05	0.000397356604675408	0.000323456480955543	"Cct3/Cct7/Cct4/Cct5/Cct8/Tcp1"	6
"GO:0009165"	"GO:0009165"	"nucleotide biosynthetic process"	"11/243"	"204/23328"	1.03804778964051e-05	0.000398282546656805	0.000324210216847555	"Atp5e/Vcp/Atp5k/Atp5j2/Gars/Rrm1/Pkm/Impdh2/Nme6/Rrm2/Atp5j"	11
"GO:0006338"	"GO:0006338"	"chromatin remodeling"	"10/243"	"167/23328"	1.0583331171139e-05	0.000400792125909626	0.000326253066177968	"Ptma/Hjurp/Anp32e/Cdkn2a/Itgb3bp/Nasp/Hmgb1/Trim28/Smarcc1/Npm1"	10
"GO:0009988"	"GO:0009988"	"cell-cell recognition"	"7/243"	"73/23328"	1.10817263007358e-05	0.000414286075550584	0.000337237419813214	"Cct3/Cct7/Cd81/Cct4/Cct5/Cct8/Tcp1"	7
"GO:0071353"	"GO:0071353"	"cellular response to interleukin-4"	"5/243"	"29/23328"	1.13946702265799e-05	0.000420593144059583	0.000342371503809963	"Alad/Mcm2/Impdh2/Rpl3/Tuba1b"	5
"GO:0071897"	"GO:0071897"	"DNA biosynthetic process"	"10/243"	"169/23328"	1.17461720315585e-05	0.000428147970550309	0.000348521288567954	"Hnrnpu/Cct3/Vcp/Cct7/Pold1/Cct4/Npm1/Cct5/Cct8/Tcp1"	10
"GO:0010833"	"GO:0010833"	"telomere maintenance via telomere lengthening"	"7/243"	"74/23328"	1.21319423624999e-05	0.000436749925049995	0.000355523457146682	"Hnrnpu/Cct3/Cct7/Cct4/Cct5/Cct8/Tcp1"	7
"GO:1901293"	"GO:1901293"	"nucleoside phosphate biosynthetic process"	"11/243"	"209/23328"	1.30326363667679e-05	0.000458455629717052	0.00037319234893219	"Atp5e/Vcp/Atp5k/Atp5j2/Gars/Rrm1/Pkm/Impdh2/Nme6/Rrm2/Atp5j"	11
"GO:0022411"	"GO:0022411"	"cellular component disassembly"	"15/243"	"383/23328"	1.30493200502453e-05	0.000458455629717052	0.00037319234893219	"Mid1/Vcp/Cdkn2a/Atpif1/Fscn1/Phb2/Bax/Plk1/Hspa8/Tpm1/Tmod3/Tmod2/Smarcc1/Eif5a/Gabarap"	15
"GO:0046916"	"GO:0046916"	"cellular transition metal ion homeostasis"	"8/243"	"104/23328"	1.34582678193388e-05	0.000467194154299904	0.000380305688378559	"Atp6v1g1/Ftl1/Mt3/Mt2/Mt1/Trf/Atox1/Fth1"	8
"GO:0006268"	"GO:0006268"	"DNA unwinding involved in DNA replication"	"4/243"	"15/23328"	1.43259185538398e-05	0.00048574858724415	0.000395409379913204	"Mcm6/Mcm7/Mcm2/Mcm4"	4
"GO:1902969"	"GO:1902969"	"mitotic DNA replication"	"4/243"	"15/23328"	1.43259185538398e-05	0.00048574858724415	0.000395409379913204	"Mcm3/Mcm6/Mcm2/Mcm4"	4
"GO:0032206"	"GO:0032206"	"positive regulation of telomere maintenance"	"6/243"	"51/23328"	1.461280825533e-05	0.000489781021523475	0.000398691864679603	"Cct3/Cct7/Cct4/Cct5/Cct8/Tcp1"	6
"GO:0046034"	"GO:0046034"	"ATP metabolic process"	"12/243"	"253/23328"	1.50334625197536e-05	0.000498154280768199	0.000405507870598617	"Atp5e/Vcp/Atpif1/Atp5k/Cox6a1/Atp5j2/Cox4i1/Hspa8/Pkm/Cox7c/Atp5j/Ndufa7"	12
"GO:0090068"	"GO:0090068"	"positive regulation of cell cycle process"	"12/243"	"254/23328"	1.56354869775442e-05	0.000511547193346065	0.00041640997797826	"Hnrnpu/Anp32b/Cdkn2a/Phb2/Ccnd2/Rgcc/Tmod3/Npm1/Mybbp1a/Racgap1/Ranbp1/Lmnb1"	12
"GO:2000573"	"GO:2000573"	"positive regulation of DNA biosynthetic process"	"7/243"	"77/23328"	1.57884936217921e-05	0.000511547193346065	0.00041640997797826	"Cct3/Cct7/Cct4/Npm1/Cct5/Cct8/Tcp1"	7
"GO:0070670"	"GO:0070670"	"response to interleukin-4"	"5/243"	"31/23328"	1.60284868956236e-05	0.000513616129534488	0.000418094134755711	"Alad/Mcm2/Impdh2/Rpl3/Tuba1b"	5
"GO:0006270"	"GO:0006270"	"DNA replication initiation"	"5/243"	"32/23328"	1.88360813238656e-05	0.000597021881960782	0.000485988139420101	"Mcm3/Mcm6/Mcm7/Mcm2/Mcm4"	5
"GO:0032204"	"GO:0032204"	"regulation of telomere maintenance"	"7/243"	"81/23328"	2.20377037026883e-05	0.000690988645129452	0.000562479024896005	"Hnrnpu/Cct3/Cct7/Cct4/Cct5/Cct8/Tcp1"	7
"GO:0006754"	"GO:0006754"	"ATP biosynthetic process"	"6/243"	"55/23328"	2.27189081508574e-05	0.000697350907030529	0.000567658037453557	"Atp5e/Vcp/Atp5k/Atp5j2/Pkm/Atp5j"	6
"GO:0035036"	"GO:0035036"	"sperm-egg recognition"	"6/243"	"55/23328"	2.27189081508574e-05	0.000697350907030529	0.000567658037453557	"Cct3/Cct7/Cct4/Cct5/Cct8/Tcp1"	6
"GO:0045787"	"GO:0045787"	"positive regulation of cell cycle"	"14/243"	"358/23328"	2.5830267497709e-05	0.000784594375242911	0.000638676022010239	"Hnrnpu/Cks1b/Anp32b/Cdkn2a/Hmgb1/Phb2/Ccnd2/Rgcc/Tmod3/Npm1/Mybbp1a/Racgap1/Ranbp1/Lmnb1"	14
"GO:0140014"	"GO:0140014"	"mitotic nuclear division"	"12/243"	"268/23328"	2.65638239748699e-05	0.000798557842378563	0.000650042572580919	"Rrs1/Hnrnpu/Chmp5/Cdca8/Ran/Phb2/Plk1/Rgcc/Nme6/Kpnb1/Racgap1/Ranbp1"	12
"GO:0000460"	"GO:0000460"	"maturation of 5.8S rRNA"	"5/243"	"35/23328"	2.96015574395516e-05	0.000880797362180943	0.000716987239808688	"Rrs1/Rps21/Exosc9/Exosc8/Npm1"	5
"GO:0006397"	"GO:0006397"	"mRNA processing"	"16/243"	"462/23328"	3.03353909975096e-05	0.000893515153017555	0.000727339784150814	"Ncl/Hnrnpu/Hnrnpf/Strap/Snrnp70/Ptbp1/Ubl5/Hspa8/Npm1/Alyref/Hnrnpk/Qk/Srsf3/Lsm2/Srsf7/Malat1"	16
"GO:1903829"	"GO:1903829"	"positive regulation of cellular protein localization"	"13/243"	"317/23328"	3.08245995453623e-05	0.000898845322742764	0.000731678652366231	"Cct3/Cdkn2a/Ran/Cct7/Trim28/Cd81/Ank3/Cct4/Npm1/Hnrnpk/Cct5/Cct8/Tcp1"	13
